lon,lat,pptn,Month
104.9166815,20.58333754,103,December
106.5833483,21.75000426,99,January
105.7500149,21.75000426,116,February
107.9166817,12.75000379,177,March
106.2500149,21.25000424,132,April
105.4166816,22.58333764,100,May
108.0833484,10.91667037,195,June
107.750015,11.58333707,139,July
106.2500149,17.91667073,154,August
105.7500149,18.25000408,152,September
106.5833483,20.58333754,148,October
107.750015,13.08333714,176,November
106.9166816,16.41667065,137,December
106.2500149,17.58333738,151,January
103.7500148,21.75000426,101,February
108.7500151,14.41667055,150,March
106.5833483,20.91667089,144,April
106.2500149,22.25000429,98,May
105.7500149,21.91667094,114,June
106.9166816,17.08333735,170,July
105.2500149,9.916670313,216,August
105.0833482,9.916670313,215,September
107.4166817,14.25000387,151,October
107.5833483,14.7500039,134,November
106.0833483,21.91667094,101,December
107.750015,11.25000372,163,January
105.7500149,10.91667037,213,February
105.7500149,22.58333764,95,March
106.4166816,20.91667089,142,April
109.2500151,13.91667052,200,May
104.4166815,22.25000429,120,June
108.0833484,15.91667063,178,July
104.0833481,19.25000413,61,August
107.750015,14.25000387,136,September
105.9166816,22.41667096,92,October
106.750015,10.58333701,215,November
107.250015,11.41667039,181,December
108.4166817,11.41667039,184,January
106.750015,11.08333704,198,February
105.7500149,22.75000432,76,March
108.5833484,12.75000379,170,April
105.9166816,20.41667086,140,May
