"Land_cover","Band1","Band2","Band3","Band4"
"Agriculture",0.0642985478043556,0.0839978381991386,0.112988092005253,0.20748408138752
"Agriculture",0.0542916543781757,0.0589984282851219,0.0823885202407837,0.123276062309742
"Agriculture",0.0517920590937138,0.0562976002693176,0.0619943849742413,0.103599533438683
"Agriculture",0.0537977702915668,0.0665974766016006,0.0786851570010185,0.185481116175652
"Agriculture",0.0509949661791325,0.068296380341053,0.0659845322370529,0.260977506637573
"Agriculture",0.0573976822197437,0.0670959874987602,0.0872999206185341,0.128783106803894
"Agriculture",0.0554916225373745,0.0797965750098228,0.0654890984296799,0.282394737005234
"Agriculture",0.0620937533676624,0.08139868080616,0.104190796613693,0.202981576323509
"Agriculture",0.0565962456166744,0.0714957341551781,0.091394267976284,0.185087397694588
"Agriculture",0.0609933584928513,0.0711956396698952,0.0850833356380463,0.163886621594429
"Agriculture",0.0619940273463726,0.068296380341053,0.0909860506653786,0.143687829375267
"Agriculture",0.0631982758641243,0.0811953842639923,0.0934895724058151,0.193786293268204
"Agriculture",0.0572980232536793,0.0649905800819397,0.0859956964850426,0.126582145690918
"Agriculture",0.0580994635820389,0.0673960447311401,0.0857873857021332,0.161380529403687
"Agriculture",0.049491748213768,0.0634949579834938,0.0578999742865562,0.234891802072525
"Agriculture",0.036795724183321,0.0417956374585629,0.0336897075176239,0.225789695978165
"Agriculture",0.0536938197910786,0.0763987153768539,0.0708960518240929,0.281097829341888
"Agriculture",0.0717931389808655,0.0909922271966934,0.125992760062218,0.188482820987701
"Agriculture",0.054499514400959,0.0621929615736008,0.0718957483768463,0.170576095581055
"Agriculture",0.0537934824824333,0.0736931934952736,0.0720956847071648,0.256996423006058
"Agriculture",0.0516924224793911,0.061399158090353,0.0726868957281113,0.147581577301025
"Agriculture",0.0623925477266312,0.0774927213788033,0.110292561352253,0.15289631485939
"Agriculture",0.051198560744524,0.0656971484422684,0.0754947364330292,0.174683481454849
"Agriculture",0.0711994916200638,0.0958951339125633,0.117091134190559,0.23939411342144
"Agriculture",0.0459914654493332,0.0574979744851589,0.0538838244974613,0.223597675561905
"Agriculture",0.06379184871912,0.0775991678237915,0.107789546251297,0.183586537837982
"Agriculture",0.0446999967098236,0.056999996304512,0.0473999977111816,0.278600007295609
"Agriculture",0.0470961220562458,0.0536936409771442,0.0497893951833248,0.179885566234589
"Agriculture",0.0425994694232941,0.0512929037213326,0.0417830646038055,0.228876486420631
"Agriculture",0.0571983829140663,0.0586935132741928,0.0747992917895317,0.139886677265167
"Agriculture",0.0908973217010498,0.105193093419075,0.144283145666122,0.222084581851959
"Agriculture",0.0575969405472279,0.0714957341551781,0.0813887193799019,0.17528124153614
"Agriculture",0.0367999970912933,0.0467999950051308,0.0318999961018562,0.308400005102158
"Agriculture",0.0469964891672134,0.0572995245456696,0.0475986488163471,0.249288842082024
"Agriculture",0.0412999987602234,0.054799996316433,0.0446999967098236,0.260500013828278
"Agriculture",0.0608937479555607,0.0750967711210251,0.0857958644628525,0.158175095915794
"Agriculture",0.0344952084124088,0.0420948453247547,0.029396329075098,0.272097080945969
"Agriculture",0.0558988079428673,0.0646904855966568,0.0880995914340019,0.155988290905952
"Agriculture",0.102896727621555,0.13009549677372,0.172188296914101,0.235998407006264
"Agriculture",0.0756920278072357,0.088794507086277,0.120490781962872,0.166887402534485
"Agriculture",0.0442976281046867,0.0585918687283993,0.0544836409389973,0.22919400036335
"Agriculture",0.0382999926805496,0.0454999953508377,0.0342999994754791,0.252499997615814
"Agriculture",0.0460997484624386,0.0583982467651367,0.0563875585794449,0.191484346985817
"Agriculture",0.0575969405472279,0.0670959874987602,0.0848919004201889,0.158086135983467
"Agriculture",0.0314929187297821,0.0367951914668083,0.0301905833184719,0.214486286044121
"Agriculture",0.0670970380306244,0.0843949094414711,0.116891272366047,0.15498274564743
"Agriculture",0.047295406460762,0.0575996115803719,0.0587867051362991,0.225976526737213
"Agriculture",0.0484996996819973,0.0642936155200005,0.0636896714568138,0.224781259894371
"Agriculture",0.0369999930262566,0.0448999926447868,0.0342999994754791,0.224299982190132
"Agriculture",0.0407973453402519,0.0462978407740593,0.0368888527154922,0.255088657140732
"Agriculture",0.049491748213768,0.0611910708248615,0.0608989857137203,0.224781259894371
"Agriculture",0.0450990572571754,0.0592985227704048,0.0608989857137203,0.201379060745239
"Agriculture",0.0523985214531422,0.0620913356542587,0.077685572206974,0.151078730821609
"Agriculture",0.0571983829140663,0.0709923803806305,0.0718957483768463,0.268188625574112
"Agriculture",0.0497993156313896,0.0654987618327141,0.0745991095900536,0.20187520980835
"Agriculture",0.0610999912023544,0.0772999972105026,0.108399994671345,0.200199991464615
"Agriculture",0.0590999945998192,0.0748999938368797,0.105499990284443,0.200399994850159
"Agriculture",0.0603997893631458,0.0704986080527306,0.0979921519756317,0.179478526115417
"Agriculture",0.0657932460308075,0.0825944542884827,0.112796664237976,0.198682963848114
"Agriculture",0.0518917180597782,0.0634949579834938,0.0850833356380463,0.165996327996254
"Agriculture",0.0485999956727028,0.0657999962568283,0.061599999666214,0.230700001120567
"Agriculture",0.0556995309889317,0.0640999674797058,0.0820926576852798,0.152997806668282
"Agriculture",0.0669974833726883,0.0775991678237915,0.0966969355940819,0.173983961343765
"Agriculture",0.050098218023777,0.061094231903553,0.0547879338264465,0.226395979523659
"Agriculture",0.0393999963998795,0.0461999997496605,0.0355999991297722,0.225299999117851
"Agriculture",0.0520996041595936,0.0630932524800301,0.0654976889491081,0.192590460181236
"Agriculture",0.0542916543781757,0.0601939670741558,0.0692964717745781,0.125476136803627
