Z1;Z2;N1;N2;N3;N4;N5;A1;A2;A3;A4;A5;B1;B2;B3;B4;B5;B6;B7;B8;B9;B10;B11;B12;B13;C1;C2;C3;C4;C5;C6;C7;C8;C9;C10;C11;C12;C13;C14;C15;C16;C17;C18;C19;C20;C21;C22;C23;C24;C25;C26;C27;C28;C29;C30;C31;C32;C33;C34;C35;C36;C37;D1;D2;D3;D4;D5;D6;D7;D8;F1;F2;F3
1;0;1;0;0;0;0;10;20;25;30;36;2;2;2;2;2;1;2;2;2;2;2;2;2;2;2;2;2;3;3;1;1;1;2;2;2;2;2;2;2;3;2;2;2;3;2;2;2;2;3;2;2;2;2;3;3;3;3;3;3;3;2;2;1;1;3;3;2;3;2;3;3
1;0;1;0;0;0;0;20;30;19;11;16;2;2;2;2;3;3;2;2;2;2;2;2;2;2;3;3;2;1;1;2;3;2;1;3;2;1;1;3;2;2;2;2;2;3;3;3;3;2;2;2;2;2;2;2;2;2;2;2;2;3;2;2;2;3;1;2;2;2;3;3;3
1;0;0;1;0;0;0;20;18;17;15;15;2;2;2;2;1;1;2;3;3;2;2;2;2;3;1;1;3;3;2;2;2;3;3;2;1;1;2;3;3;2;2;2;2;2;2;1;1;3;2;2;3;2;3;3;3;3;3;3;3;3;3;2;2;2;1;3;2;2;2;3;2
1;0;0;1;0;0;0;10;6;4;3;2;2;2;2;2;3;3;2;2;2;2;2;2;2;2;2;2;2;2;2;3;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;1;1;2;2;2;3;2;2;2;2;3;2;2;2;3;3;3;3
1;0;0;1;0;0;0;5;6;8;22;11;2;2;3;1;3;1;2;3;2;3;2;2;2;1;3;2;2;2;2;3;2;1;1;2;2;2;2;2;2;2;2;3;2;2;1;1;2;2;2;1;2;3;2;3;3;3;3;3;3;3;2;2;1;3;2;2;2;2;3;3;3
1;0;0;1;0;0;0;25;23;22;29;21;2;2;2;1;1;2;2;2;2;2;2;2;2;2;2;2;2;3;2;2;2;2;2;3;3;2;2;1;2;2;2;2;3;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;3;3;2;2;2;2;2;2;3;3
1;0;0;1;0;0;0;10;20;30;40;50;2;2;3;3;1;3;2;3;2;2;2;3;3;2;3;3;1;2;1;2;3;3;2;2;2;2;2;2;1;3;2;2;3;2;2;2;3;2;3;2;2;2;2;2;2;3;2;3;3;3;2;3;2;3;1;1;2;2;3;3;3
1;0;0;1;0;0;0;20;25;30;35;40;2;2;2;2;3;3;2;2;2;2;2;2;2;2;2;2;3;1;2;1;3;2;2;1;3;2;2;1;3;2;2;2;2;2;2;2;2;2;2;3;2;2;2;2;2;3;2;3;3;3;3;3;2;2;2;2;2;2;3;3;2
1;0;0;0;0;1;0;2;6;5;3;7;2;2;2;2;3;3;3;2;3;3;2;2;2;2;2;3;1;3;3;1;1;1;2;3;2;2;3;3;3;3;2;2;2;2;2;2;2;2;2;2;2;2;2;2;3;2;3;3;3;3;2;2;2;2;1;3;2;3;3;3;3
1;0;0;0;0;1;0;23;22;21;19;17;2;1;2;3;2;2;1;2;2;1;2;2;2;2;2;1;2;2;1;2;2;1;1;3;2;2;2;1;1;2;2;2;2;2;2;1;2;2;2;2;2;2;3;2;2;2;3;3;3;3;2;1;3;1;2;3;2;2;3;3;3
1;0;1;0;0;0;0;27;25;21;22;20;2;2;2;2;1;2;2;2;2;2;2;2;2;2;2;2;2;3;2;2;2;2;3;2;2;1;2;1;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;3;2;3;3;3;3;2;2;2;2;2;2;2;2;2;3;2
1;0;1;0;0;0;0;0;0;0;0;0;2;2;2;2;2;3;3;3;2;2;2;2;2;2;2;2;2;3;2;2;3;2;2;2;2;3;3;2;2;2;2;2;2;2;3;3;3;3;3;3;3;3;2;2;3;3;3;2;2;3;3;3;3;2;1;2;2;2;3;3;3
1;0;1;0;0;0;0;0;0;0;0;0;1;1;3;3;2;2;3;1;2;3;2;2;2;2;2;2;2;3;1;3;2;3;2;1;3;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;3;3;1;2;1;3;2;2;2;3;2;3;1;2;2;2;2;3;3;2
1;0;1;0;0;0;0;0;0;0;0;0;2;2;2;2;2;2;2;2;2;2;2;2;3;2;2;2;2;2;3;3;2;2;2;2;2;3;2;1;1;2;2;2;2;2;3;3;2;1;1;2;2;2;2;2;3;2;2;2;2;3;2;1;2;2;3;1;2;2;3;3;3
