"","LN.5years.","Code","Values"
"252","2015","X000012","-2.940193944"
"253","1995","X000013",""
"254","1996","X000013",""
"255","1997","X000013",""
"256","1998","X000013",""
"257","1999","X000013",""
"258","2000","X000013","-5.092599916"
"259","2001","X000013","-4.819794393"
"260","2002","X000013","-0.929527608"
"261","2003","X000013","-0.957900474"
"262","2004","X000013","-0.928942654"
"263","2005","X000013","-0.928175695"
"264","2006","X000013","-1.180748046"
"265","2007","X000013","-1.35501017"
"266","2008","X000013","#DIV/0!"
"267","2009","X000013","#DIV/0!"
"268","2010","X000013","#DIV/0!"
"269","2011","X000013","#DIV/0!"
"270","2012","X000013","#DIV/0!"
"271","2013","X000013","#DIV/0!"
"272","2014","X000013","#DIV/0!"
"273","2015","X000013","#DIV/0!"
"274","1995","X000014",NA
"275","1996","X000014",NA
"276","1997","X000014",NA
"277","1998","X000014",NA
"278","1999","X000014",NA
"279","2000","X000014","-2.353775718"
"280","2001","X000014","-2.559869878"
"281","2002","X000014","-2.227730242"
"282","2003","X000014","-2.106726419"
"283","2004","X000014","-2.103813432"
"284","2005","X000014","-2.665506128"
"285","2006","X000014","-4.451340252"
"286","2007","X000014","-4.480738982"
"287","2008","X000014","-3.992414982"
"288","2009","X000014","-4.018276609"
"289","2010","X000014","-3.6367764"
"290","2011","X000014","-3.488768881"
"291","2012","X000014","-3.494613139"
"292","2013","X000014","-3.803443401"
"293","2014","X000014","-3.687058669"
"294","2015","X000014","-3.870912003"
"295","1995","X000015",""
"296","1996","X000015",""
"297","1997","X000015",""
"298","1998","X000015",""
"299","1999","X000015",""
"300","2000","X000015","-1.816319324"
"301","2001","X000015","-1.910595111"
"302","2002","X000015","-2.107407563"
"303","2003","X000015","-2.020892684"
"304","2004","X000015","-3.08224041"
"305","2005","X000015","#DIV/0!"
"306","2006","X000015","#DIV/0!"
"307","2007","X000015","#DIV/0!"
"308","2008","X000015","#DIV/0!"
"309","2009","X000015","#DIV/0!"
"310","2010","X000015","#DIV/0!"
"311","2011","X000015","#DIV/0!"
"312","2012","X000015","#DIV/0!"
"313","2013","X000015","#DIV/0!"
"314","2014","X000015","#DIV/0!"
"315","2015","X000015","#DIV/0!"
"316","1995","X000016",NA
"317","1996","X000016",NA
"318","1997","X000016",NA
"319","1998","X000016",NA
"320","1999","X000016",NA
"321","2000","X000016","-4.242403229"
"322","2001","X000016","-3.64757922"
"323","2002","X000016","-2.465986492"
"324","2003","X000016","-2.514430085"
"325","2004","X000016","-2.637783475"
"326","2005","X000016","-2.807279207"
"327","2006","X000016","-2.860528016"
"328","2007","X000016","-4.827111129"
"329","2008","X000016","-4.718838717"
"330","2009","X000016","-4.458292299"
"331","2010","X000016","-4.419574395"
"332","2011","X000016","-4.253864824"
"333","2012","X000016","-3.879293846"
"334","2013","X000016","-3.945021083"
"335","2014","X000016","-4.563233509"
"336","2015","X000016","-5.260401008"
"337","1995","X000017",NA
"338","1996","X000017",NA
"339","1997","X000017",NA
"340","1998","X000017",NA
"341","1999","X000017",NA
"342","2000","X000017","-2.258415175"
"343","2001","X000017","-2.37819584"
"344","2002","X000017","0.44799422"
"345","2003","X000017","0.447300275"
"346","2004","X000017","0.456896363"
"347","2005","X000017","0.458729127"
"348","2006","X000017","0.461861893"
"349","2007","X000017","-3.720366892"
"350","2008","X000017","-3.228538473"
"351","2009","X000017","-1.785499481"
"352","2010","X000017","-1.058183505"
"353","2011","X000017","-1.035935284"
"354","2012","X000017","-1.132749983"
"355","2013","X000017","-1.520264209"
"356","2014","X000017","-1.077895283"
"357","2015","X000017","-1.326549075"
"358","1995","X000018",NA
"359","1996","X000018",NA
"360","1997","X000018",NA
"361","1998","X000018",NA
"362","1999","X000018",NA
"363","2000","X000018","-4.515213756"
"364","2001","X000018","-4.89441159"
"365","2002","X000018","-4.679840465"
"366","2003","X000018","-5.096133717"
"367","2004","X000018","-5.074696358"
"368","2005","X000018","-5.247988623"
"369","2006","X000018","-3.078009506"
"370","2007","X000018","-2.757593954"
"371","2008","X000018","-1.236499126"
"372","2009","X000018","-1.270005767"
"373","2010","X000018","-1.220954631"
"374","2011","X000018","-1.188532238"
"375","2012","X000018","-1.267985889"
"376","2013","X000018","-2.135063406"
"377","2014","X000018","-2.374936853"
"378","2015","X000018","-2.463559309"
"379","1995","X000019",NA
"380","1996","X000019",NA
"381","1997","X000019",NA
"382","1998","X000019",NA
"383","1999","X000019",NA
"384","2000","X000019","-2.881316266"
"385","2001","X000019","-4.033491138"
"386","2002","X000019","-3.781271317"
"387","2003","X000019","-3.698591839"
"388","2004","X000019","-2.935972742"
"389","2005","X000019","-3.110016171"
"390","2006","X000019","-3.122654754"
"391","2007","X000019","-2.568116345"
"392","2008","X000019","-2.568101141"
"393","2009","X000019","-2.881882942"
"394","2010","X000019","-2.817142536"
"395","2011","X000019","-2.766423385"
"396","2012","X000019","-3.850691108"
"397","2013","X000019","-3.153650804"
"398","2014","X000019","-3.126884763"
"399","2015","X000019","-3.251856523"
"400","1995","X000020",NA
"401","1996","X000020",NA
"402","1997","X000020",NA
"403","1998","X000020",NA
"404","1999","X000020",NA
"405","2000","X000020","-2.132674799"
"406","2001","X000020","-2.353326488"
"407","2002","X000020","-2.447049723"
"408","2003","X000020","-2.715847253"
"409","2004","X000020","-4.264987125"
"410","2005","X000020","-3.010720424"
"411","2006","X000020","-2.962753157"
"412","2007","X000020","-2.944684808"
"413","2008","X000020","-2.999552716"
"414","2009","X000020","-2.949840882"
"415","2010","X000020","-3.541735745"
"416","2011","X000020","-3.491706471"
"417","2012","X000020","-4.224517761"
"418","2013","X000020","-4.568644302"
"419","2014","X000020","-4.164828575"
"420","2015","X000020","-4.135012621"
"421","1995","X000021",NA
"422","1996","X000021",NA
"423","1997","X000021",NA
"424","1998","X000021",NA
"425","1999","X000021",NA
"426","2000","X000021","-2.719744511"
"427","2001","X000021","-2.380284239"
"428","2002","X000021","-2.273291013"
"429","2003","X000021","-2.412731373"
"430","2004","X000021","-2.831749379"
"431","2005","X000021","-3.089498299"
"432","2006","X000021","-2.917097788"
