"","latitude","longitude","country","area","colour"
"9557",51.42936,-0.3356,"United Kingdom","London","blue"
"9558",51.47798,-0.14786,"United Kingdom","London","blue"
"9559",51.4852,-0.17391,"United Kingdom","London","blue"
"9560",51.53598,-0.10401,"United Kingdom","London","blue"
"9561",51.59432,-0.37529,"United Kingdom","London","blue"
"9562",51.57294,-0.13881,"United Kingdom","London","blue"
"9563",51.53886,-0.1508,"United Kingdom","London","blue"
"9565",51.54574,-0.15901,"United Kingdom","London","blue"
"9598",53.3883,-2.35115,"United Kingdom","Altrincham","blue"
"9599",43.66766,7.15703,"France","Cagnes-sur-Mer","marble"
"9601",50.46801,-3.50779,"United Kingdom","Torquay","blue"
"9631",51.49185,-0.16461,"United Kingdom","London","blue"
"9713",48.85048,2.3358,"France","Paris","marble"
"9746",51.50848,-0.15064,"United Kingdom","London","blue"
"9764",53.42425,-2.31765,"United Kingdom","Sale","blue"
"9765",53.42002,-2.30413,"United Kingdom","Sale","blue"
"9766",53.42502,-2.3197,"United Kingdom","Sale","brass"
"9769",51.51986,-0.14366,"United Kingdom","London","green"
"9770",51.52115,-0.14366,"United Kingdom","London","green"
"9802",51.76336,-1.21266,"United Kingdom","Oxford","blue"
"9803",51.5086,-0.14122,"United Kingdom","London","blue"
"9809",52.45482,-1.88888,"United Kingdom","Birmingham","blue"
"9814",51.5504,-0.10233,"United Kingdom","London","green"
"9821",50.72916,-3.53669,"United Kingdom","Exeter","blue"
"9863",51.68191,-1.2733,"United Kingdom","Abingdon","blue"
"9871",53.25692,-1.91292,"United Kingdom","Buxton","marble"
"9909",53.25773,-1.91779,"United Kingdom","Buxton","bronze"
"9910",53.25775,-1.91781,"United Kingdom","Buxton","bronze"
"9920",53.08968,-1.48612,"United Kingdom","Crich","black"
"9921",53.08969,-1.48606,"United Kingdom","Crich","black"
"9948",52.95331,-1.14641,"United Kingdom","Nottingham","blue"
"9956",53.01773,-1.73162,"United Kingdom","Ashbourne","brushed metal"
"9959",50.79304,-1.09961,"United Kingdom","Portsmouth","blue"
"10009",52.48399,-1.90331,"United Kingdom","Birmingham","blue"
"10028",49.7236,-2.20312,"United Kingdom","Alderney","bronze"
"10047",53.29439,-6.15021,"Ireland","Dublin","black"
"10058",51.37959,-0.06405,"United Kingdom","Addiscombe","blue"
"10069",51.45553,-2.62656,"United Kingdom","Bristol","stone"
"10126",51.862,-2.25087,"United Kingdom","Gloucester","black"
"10143",51.5469,-0.34457,"United Kingdom","London","blue"
"10155",50.82888,-0.14095,"United Kingdom","Brighton","blue"
"10156",50.82888,-0.14087,"United Kingdom","Brighton","blue"
"10176",50.82067,-0.1405,"United Kingdom","Brighton","blue"
"10233",37.87945,-4.78317,"Spain","Cordoba","red and black"
"10248",37.87757,-4.77939,"Spain","Cordoba","white"
"10255",50.96107,0.10009,"United Kingdom","Uckfield","Belgian Blue Stone"
"10277",37.38327,-5.99121,"Spain","Seville","stone"
"10278",37.38421,-5.99059,"Spain","Seville","white"
"10298",37.38274,-5.99312,"Spain","Seville","brushed metal"
"10302",37.38674,-5.99342,"Spain","Seville","multicoloured"
