"","LN","Code","Values"
"351","2009","X000017","-2.873928495"
"352","2010","X000017","-2.823697727"
"353","2011","X000017","-2.940873126"
"354","2012","X000017","-2.990002946"
"355","2013","X000017","-2.852637712"
"356","2014","X000017","-2.187311023"
"357","2015","X000017","-1.888836868"
"358","1995","X000018",""
"359","1996","X000018",""
"360","1997","X000018",""
"361","1998","X000018",""
"362","1999","X000018",""
"363","2000","X000018","#N/A"
"364","2001","X000018","#N/A"
"365","2002","X000018","#N/A"
"366","2003","X000018","-3.091219379"
"367","2004","X000018","-2.963259239"
"368","2005","X000018","-3.045139862"
"369","2006","X000018","-3.070697545"
"370","2007","X000018","-3.047652075"
"371","2008","X000018","-3.05165952"
"372","2009","X000018","-3.095815574"
"373","2010","X000018","-3.08670667"
"374","2011","X000018","-3.070519045"
"375","2012","X000018","-3.132773985"
"376","2013","X000018","-3.073014103"
"377","2014","X000018","-4.06838261"
"378","2015","X000018","-4.200150419"
"379","1995","X000019",""
"380","1996","X000019",""
"381","1997","X000019",""
"382","1998","X000019",""
"383","1999","X000019",""
"384","2000","X000019","#N/A"
"385","2001","X000019","#N/A"
"386","2002","X000019","#N/A"
"387","2003","X000019","-2.622325363"
"388","2004","X000019","-2.592237519"
"389","2005","X000019","-2.673201971"
"390","2006","X000019","-3.206789055"
"391","2007","X000019","-3.176733507"
"392","2008","X000019","-3.374765597"
"393","2009","X000019","-3.49356226"
"394","2010","X000019","-3.49403599"
"395","2011","X000019","-3.423449482"
"396","2012","X000019","-4.187333848"
"397","2013","X000019","-3.573552654"
"398","2014","X000019","-3.617540595"
"399","2015","X000019","-3.401901119"
"400","1995","X000020",""
"401","1996","X000020",""
"402","1997","X000020",""
"403","1998","X000020",""
"404","1999","X000020",""
"405","2000","X000020","#N/A"
"406","2001","X000020","#N/A"
"407","2002","X000020","#N/A"
"408","2003","X000020","-3.17548707"
"409","2004","X000020","-3.170708407"
"410","2005","X000020","-3.261529954"
"411","2006","X000020","-3.229221553"
"412","2007","X000020","-3.460620888"
"413","2008","X000020","-3.565916287"
"414","2009","X000020","-3.023099859"
"415","2010","X000020","-2.348202625"
"416","2011","X000020","-2.30805958"
"417","2012","X000020","-2.276330099"
"418","2013","X000020","-2.283283695"
"419","2014","X000020","-2.190750352"
"420","2015","X000020","-2.4469131"
"421","1995","X000021",""
"422","1996","X000021",""
"423","1997","X000021",""
"424","1998","X000021",""
"425","1999","X000021",""
"426","2000","X000021","#N/A"
"427","2001","X000021","#N/A"
"428","2002","X000021","#N/A"
"429","2003","X000021","-2.004690956"
"430","2004","X000021","-1.887302934"
"431","2005","X000021","-1.913554339"
"432","2006","X000021","-2.477320639"
"433","2007","X000021","-2.204130004"
"434","2008","X000021","-2.00408538"
"435","2009","X000021","-2.060628439"
"436","2010","X000021","-2.087771763"
"437","2011","X000021","-2.046117036"
"438","2012","X000021","-2.708319702"
"439","2013","X000021","-2.973032993"
"440","2014","X000021","-3.073325077"
"441","2015","X000021","-3.33629156"
"442","1995","X000022",""
"443","1996","X000022",""
"444","1997","X000022",""
"445","1998","X000022",""
"446","1999","X000022",""
"447","2000","X000022","#N/A"
"448","2001","X000022","#N/A"
"449","2002","X000022","#N/A"
"450","2003","X000022","-3.224809351"
"451","2004","X000022","-3.086804561"
"452","2005","X000022","-2.790317112"
"453","2006","X000022","-2.747799044"
"454","2007","X000022","-3.178229794"
"455","2008","X000022","-3.425637888"
"456","2009","X000022","-4.397614555"
"457","2010","X000022","-3.018772193"
"458","2011","X000022","-2.981593452"
"459","2012","X000022","-2.852138118"
"460","2013","X000022","-2.952023998"
"461","2014","X000022","-3.708043193"
"462","2015","X000022","-3.750038503"
"463","1995","X000023",""
"464","1996","X000023",""
"465","1997","X000023",""
"466","1998","X000023",""
"467","1999","X000023",""
"468","2000","X000023","#N/A"
"469","2001","X000023","#N/A"
"470","2002","X000023","#N/A"
"471","2003","X000023","-3.512852912"
"472","2004","X000023","-3.446532334"
"473","2005","X000023","-2.736385409"
"474","2006","X000023","-2.632499952"
"475","2007","X000023","-2.858280323"
"476","2008","X000023","-2.409831209"
"477","2009","X000023","-2.261613872"
"478","2010","X000023","-2.379080995"
"479","2011","X000023","-2.243034786"
"480","2012","X000023","-2.24287332"
"481","2013","X000023","-2.258937378"
"482","2014","X000023","-2.448293487"
"483","2015","X000023","-2.448538008"
"484","1995","X000024",""
"485","1996","X000024",""
"486","1997","X000024",""
"487","1998","X000024",""
"488","1999","X000024",""
"489","2000","X000024","#N/A"
"490","2001","X000024","#N/A"
"491","2002","X000024","#N/A"
"492","2003","X000024","-2.700056631"
"493","2004","X000024","-2.517749175"
"494","2005","X000024","-2.115084151"
"495","2006","X000024","-1.98443815"
"496","2007","X000024","-1.94322007"
"497","2008","X000024","-2.871898261"
"498","2009","X000024","-3.886663834"
"499","2010","X000024","-1.877703369"
"500","2011","X000024","-1.911420915"
"501","2012","X000024","-1.94747218"
"502","2013","X000024","-2.077172386"
"503","2014","X000024","-2.268987373"
"504","2015","X000024","-2.898826395"
"505","1995","X000025",""
"506","1996","X000025",""
"507","1997","X000025",""
"508","1998","X000025",""
"509","1999","X000025",""
"510","2000","X000025","#N/A"
"511","2001","X000025","#N/A"
"512","2002","X000025","#N/A"
"513","2003","X000025","-2.216897876"
"514","2004","X000025","-2.162873221"
"515","2005","X000025","-2.501118018"
"516","2006","X000025","-2.531138008"
"517","2007","X000025","-2.509102194"
"518","2008","X000025","-2.514392648"
"519","2009","X000025","-2.660409977"
"520","2010","X000025","-2.834042434"
"521","2011","X000025","-2.878188652"
"522","2012","X000025","-2.831658904"
"523","2013","X000025","-3.245908025"
"524","2014","X000025","-3.507926805"
"525","2015","X000025","-4.077040981"
"526","1995","X000026",""
"527","1996","X000026",""
"528","1997","X000026",""
"529","1998","X000026",""
"530","1999","X000026",""
"531","2000","X000026","#N/A"
"532","2001","X000026","#N/A"
"533","2002","X000026","#N/A"
"534","2003","X000026","-2.747507411"
"535","2004","X000026","-2.585287838"
"536","2005","X000026","-2.464418138"
"537","2006","X000026","-2.44078897"
"538","2007","X000026","-2.788192779"
"539","2008","X000026","-3.230741681"
"540","2009","X000026","-3.325405263"
"541","2010","X000026","-2.725900768"
