"","CLASS_NAME","Band1","Band2","Band3","Band4"
"459","Agriculture",0.0587969534099102,0.0634997859597206,0.0799891725182533,0.10068728774786
"460","Agriculture",0.0414991304278374,0.0476918257772923,0.0378971882164478,0.236787363886833
"461","Agriculture",0.0624922513961792,0.0757985636591911,0.107189923524857,0.182187721133232
"462","Agriculture",0.0497949980199337,0.0722943693399429,0.059099555015564,0.314292103052139
"463","Agriculture",0.0470961220562458,0.0589936040341854,0.0563875585794449,0.210879698395729
"464","Agriculture",0.0556995309889317,0.0654987618327141,0.0868827179074287,0.150785341858864
"465","Agriculture",0.0460997484624386,0.059797041118145,0.0449994690716267,0.281593531370163
"466","Agriculture",0.0558988079428673,0.0696951895952225,0.0818928107619286,0.209277302026749
"467","Agriculture",0.0589919202029705,0.0743998363614082,0.0935852378606796,0.22148685157299
"468","Agriculture",0.0709959417581558,0.0819940567016602,0.10809351503849,0.201379060745239
"469","Agriculture",0.0517920590937138,0.0570914335548878,0.0666972696781158,0.121698074042797
"470","Agriculture",0.0537934824824333,0.0713941007852554,0.0660889148712158,0.220189407467842
"471","Agriculture",0.0363980866968632,0.0489954613149166,0.0403937101364136,0.234496012330055
"472","Agriculture",0.0449994206428528,0.0616992302238941,0.046590369194746,0.270376443862915
"473","Agriculture",0.0498999953269958,0.0622999966144562,0.061999998986721,0.195499986410141
"474","Agriculture",0.0479971803724766,0.0559975318610668,0.0527971163392067,0.213092401623726
"475","Agriculture",0.0727980956435204,0.0903965160250664,0.138389408588409,0.203579768538475
"476","Agriculture",0.051198560744524,0.0643903836607933,0.0460861623287201,0.300289630889893
"477","Agriculture",0.0396968424320221,0.0540992692112923,0.0497990846633911,0.214598372578621
"478","Agriculture",0.054096695035696,0.0625946968793869,0.0565958991646767,0.217798262834549
"479","Agriculture",0.0384999960660934,0.0447999984025955,0.0346999987959862,0.228799983859062
"480","Agriculture",0.0711994916200638,0.0855999067425728,0.118794515728951,0.202485531568527
"481","Agriculture",0.0634971484541893,0.0752952396869659,0.0962887927889824,0.178778991103172
"482","Agriculture",0.0676949918270111,0.079598143696785,0.110684633255005,0.187478616833687
"483","Agriculture",0.0485993400216103,0.0609925873577595,0.0569957569241524,0.236290827393532
"484","Agriculture",0.0414985418319702,0.0585940107703209,0.0530920140445232,0.238694086670876
"485","Agriculture",0.0720962956547737,0.092293992638588,0.126392394304276,0.20187520980835
"486","Agriculture",0.0347931534051895,0.0435922145843506,0.0368888527154922,0.224577531218529
"487","Agriculture",0.0497949980199337,0.059797041118145,0.0649934709072113,0.172381564974785
"488","Agriculture",0.0463986545801163,0.0656971484422684,0.0665844306349754,0.209391549229622
"489","Agriculture",0.0594987086951733,0.0671976655721664,0.0897862613201141,0.140980944037437
"490","Agriculture",0.0362999960780144,0.0424999967217445,0.032200001180172,0.222199991345406
"491","Agriculture",0.0473950579762459,0.0575996115803719,0.0511975325644016,0.212978273630142
"492","Agriculture",0.0345999971032143,0.0407999977469444,0.031700000166893,0.223399981856346
